ID,Review,Category,Sentiment Score
1,"I watched a film called ""Falling Orbit"" recently. The pacing dragged and the whole experience was frustrating. The lead performances carried the weaker parts of the script. Nothing about it felt accidental, even when it stumbled.",Movie,1
2,"I watched a film called ""Broken Skyline"" recently. This was outstanding and held my attention the entire time. The soundtrack matched the tone and elevated the big moments. It reminded me how small choices can shape an entire experience.",Movie,5
3,"I watched a film called ""Last Signal"" recently. I kept waiting for it to improve, but it never did. The lead performances carried the weaker parts of the script. I’m still deciding how much of it will actually stick with me.",Movie,1
4,"I watched a film called ""Broken Skyline"" recently. Every element felt carefully crafted and incredibly satisfying. The soundtrack matched the tone and elevated the big moments. Nothing about it felt accidental, even when it stumbled.",Movie,5
5,I’ve been using the Nimbus Noise Canceller for a little while now. I loved it so much that I would happily revisit it. Build quality felt better than most things in this price range. There were details I only noticed after reflecting on it later.,Product,5
6,"I went to see a stage show titled ""Midnight Station"". Nothing groundbreaking, but it kept me reasonably engaged. Live performances brought an energy you just do not get on screen. It reminded me how small choices can shape an entire experience.",Theatre Production,3
7,"I watched a film called ""Quiet Neon"" recently. I really enjoyed the experience more than I expected to. The story wandered in places but had a clear emotional core. I’m still deciding how much of it will actually stick with me.",Movie,4
8,"I went to see a stage show titled ""Glass Corridor"". I would not recommend this to anyone, even as background noise. Even from the back row, the emotions felt honest and strong. There were details I only noticed after reflecting on it later.",Theatre Production,1
9,"I watched a film called ""Quiet Neon"" recently. I loved it so much that I would happily revisit it. The soundtrack matched the tone and elevated the big moments. I’m still deciding how much of it will actually stick with me.",Movie,5
10,"I spent the week watching a series named ""Second Shift"". This felt like a complete mess from start to finish. Side characters were surprisingly compelling and well written. It reminded me how small choices can shape an entire experience.",TV Show,1
11,"I spent the week watching a series named ""Signal Lost"". I would not recommend this to anyone, even as background noise. The season ended on a note that made me want more. It left me with more to think about than I expected.",TV Show,1
12,"I spent the week watching a series named ""Second Shift"". A solid, middle-of-the-road experience that some people may enjoy. Side characters were surprisingly compelling and well written. It reminded me how small choices can shape an entire experience.",TV Show,3
13,"I had a meal at a place called Blue Lantern Bistro last night. You can see what they were going for, but it never quite lands. Portion sizes matched the prices and felt fair. There were details I only noticed after reflecting on it later.",Restaurant,2
14,"I’ve been using the Driftline Chair for a little while now. Not amazing, not terrible, just okay. The instructions were vague, but setup was still manageable. It reminded me how small choices can shape an entire experience.",Product,3
15,"I spent the week watching a series named ""Second Shift"". The pacing dragged and the whole experience was frustrating. Some filler episodes could have been trimmed or reworked. It reminded me how small choices can shape an entire experience.",TV Show,1
16,"I spent the week watching a series named ""Signal Lost"". I loved it so much that I would happily revisit it. Side characters were surprisingly compelling and well written. There were details I only noticed after reflecting on it later.",TV Show,5
17,"I’ve been using the Nimbus Noise Canceller for a little while now. Some parts were okay, yet most of it fell flat. The instructions were vague, but setup was still manageable. I’m still deciding how much of it will actually stick with me.",Product,2
18,"I had a meal at a place called Midnight Noodle Bar last night. Not amazing, not terrible, just okay. Flavors were layered in a way that felt intentional. There were details I only noticed after reflecting on it later.",Restaurant,3
19,"I went to see a stage show titled ""Borrowed Voices"". The idea had potential, but the delivery was clumsy. Even from the back row, the emotions felt honest and strong. It reminded me how small choices can shape an entire experience.",Theatre Production,2
20,"I watched a film called ""Broken Skyline"" recently. I kept waiting for it to improve, but it never did. The lead performances carried the weaker parts of the script. I’m still deciding how much of it will actually stick with me.",Movie,1
21,"I watched a film called ""Broken Skyline"" recently. I would happily recommend this to friends. The soundtrack matched the tone and elevated the big moments. I’m still deciding how much of it will actually stick with me.",Movie,4
22,"I went to see a stage show titled ""Dust and Echoes"". This was outstanding and held my attention the entire time. The staging was creative given the limitations of the space. It left me with more to think about than I expected.",Theatre Production,5
23,"I went to see a stage show titled ""Turning Leaves"". The pacing dragged and the whole experience was frustrating. Timing on some cues felt off, but the cast adapted. There were details I only noticed after reflecting on it later.",Theatre Production,1
24,"I watched a film called ""Last Signal"" recently. Not amazing, not terrible, just okay. The lead performances carried the weaker parts of the script. It reminded me how small choices can shape an entire experience.",Movie,3
25,"I went to see a stage show titled ""Turning Leaves"". I’ve already started recommending it to everyone I know. Live performances brought an energy you just do not get on screen. It left me with more to think about than I expected.",Theatre Production,5
26,"I spent the week watching a series named ""Parallel Rooms"". I’ve already started recommending it to everyone I know. The episodic structure sometimes dragged, but key arcs paid off. It left me with more to think about than I expected.",TV Show,5
27,"I’ve been using the Driftline Chair for a little while now. This felt like a complete mess from start to finish. It worked as advertised, though long term durability is unclear. Nothing about it felt accidental, even when it stumbled.",Product,1
28,"I watched a film called ""Shadow Harbor"" recently. You can see what they were going for, but it never quite lands. The cinematography stood out, shaping the mood of every scene. There were details I only noticed after reflecting on it later.",Movie,2
